uen,hdb_registration_no,company_name,address,postal_code,email_address,contact_no
31118700E ,HB-04-1096C    ,HOME TRUST DESIGN & RENOVATION                                                                      ,170 UPPER BT TIMAH RD # 05-34 BUKIT TIMAH SHOPPING CENTRE,588179,HMTRUST@SINGNET.COM.SG                            ,64695388
30108400M ,HB-04-1445E    ,PAGODA BUILDING CONTRACTOR                                                                          ,257 Changi Road # - ,419746,PAGODABUILDING@HOTMAIL.COM                        ,67582886
30781700L ,HB-04-1813B    ,FIRM FURNITURE WOODCRAFT                                                                            ,30 DEFU LANE 10 # 01-116 ,539211,FIRM_FURNITURE@YAHOO.COM                          ,62857026
32759000M ,HB-04-1821G    ,TECK HUANG DESIGN & CONTRACTS                                                                       ,7 DEFU LANE 1 # - DEFU INDUSTRIAL ESTATE,539482,TECKHUANGDESIGN@GMAIL.COM                         ,97434487
33687900L ,HB-04-1869H    ,SIGMA CONTRACTING SERVICES                                                                          ,45B Edgefield Plains # 16-09 WaterBay,828712,TOMCHOY09@HOTMAIL.COM                             ,64545030
200719744E,HB-04-2099D    ,P.W.C. CONSTRUCTION PTE. LTD.                                                                       ,10 DEFU LANE 1 # - ,539485,ADMIN@PWCCONSTRUCTION.COM.SG                      ,62849013
45658200B ,HB-04-2100G    ,AIK YEE RENOVATION CONTRACTOR                                                                       ,3006 UBI ROAD 1 # 03-396 ,408700,AIK.YEE@HOTMAIL.COM                               ,63853756
199605816C,HB-04-2101B    ,FURNTEX DESIGN & CONTRACTS PTE LTD                                                                  ,3029A UBI RD 3 # 01-101 ,408661,JACK@FURNTEX.SG                                   ,68421033
41915500K ,HB-04-2168F    ,MEI GAO BUILDING CONSTRUCTION                                                                       ,252 TANJONG KATONG ROAD # - ,437040,KENHOME@KENHOMEDESIGN.COM.SG                      ,63489271
31486100M ,HB-04-2273E    ,SUKINAM ENTERPRISE                                                                                  ,513 WEST COAST RD # 06-489 ,120513,SELAMAT65@HOTMAIL.COM                             ,62611418
199506811Z,HB-04-2277Z    ,JAMES ALUMINIUM DESIGN & CONTRACT PTE LTD                                                           ,1024 YISHUN INDUSTRIAL PARK A # 01-31 ,768763,ADMIN@MAXCONCE.COM.SG                             ,67563945
39712900M ,HB-04-2465F    ,T P I INTERIOR DESIGN                                                                               ,10 ADMIRALTY STREET # 04-17 NORTHLINK BUILDING,757695,TPI_INTERIOR_DESIGN@YAHOO.COM.SG                  ,62591514
24736000K ,HB-04-2471E    ,CHUAN HUAT IRON WORKS                                                                               ,1 YISHUN ST 23 # 03-01 ,768441,JASMINE0726@HOTMAIL.COM                           ,67580319
51337500K ,HB-04-2472H    ,AR RENOVATION & TRADING                                                                             ,14A CHEOW KENG ROAD # - ,429470,ARRENO@SINGNET.COM.SG                             ,62008128
42318100M ,HB-04-2480E    ,C & B CONSTRUCTION                                                                                  ,22 WOODLANDS LINK # 03-06 WOODLANDS EAST IND EST,738734,LIUENKWAI@GMAIL.COM                               ,67559525
23692200M ,HB-04-2483F    ,SOO LIANG TRADING                                                                                   ,324D SENGKANG EASTWAY # 11-623 ,544324,SOOLIANGTRADING@GMAIL.COM                         ,63128978
200514689G,HB-04-2485A    ,BAN HONG ALUMINIUM AND CONSTRUCTION PTE LTD                                                         ,9C LOK YANG WAY # - ,628630,BANHONGALUMINIUM@GMAIL.COM                        ,62683762
200904958W,HB-04-2486D    ,ATEC DESIGN + BUILD PTE. LTD.                                                                       ,111 NORTH BRIDGE ROAD # 21-01 PENINSULA PLAZA,179098,ATEC.ALVIN@HOTMAIL.COM                            ,67868309
10201400X ,HB-04-2487G    ,LIAN HOCK FOUNDRY                                                                                   ,22 WOODLANDS LINK # 03-13 WOODLANDS EAST IND EST,738734,LIANHOCKFOUNDRY@YAHOO.COM                         ,68580542
52817557B ,HB-04-2488B    ,TORRA ALUMINIUM & RENOVATION WORKS                                                                  ,61 Woodlands Industrial Park E9 # 04-24 E9 Premium,757047,TORRA_ALUM96@LIVE.COM                             ,62553558
200102784C,HB-04-2722D    ,FU BENG CONSTRUCTION PTE LTD                                                                        ,446 HOUGANG AVE 8 # B1-1635 ,530446,FBCPL@SINGNET.COM.SG                              ,64447751
48126100A ,HB-04-2725E    ,CHIN INTERIOR RENOVATION                                                                            ,177 ANG MO KIO AVE 4 # 08-925 ,560177,CHIN-5688@HOTMAIL.COM                             ,65206825
51787200E ,HB-04-2728F    ,INFORM DESIGN AND CONTRACTS                                                                         ,845 GEYLANG ROAD # 03-12 TANJONG KATONG CPLX,400845,INFORM@SINGNET.COM.SG                             ,67420200
35532900W ,HB-04-2918Z    ,SUNMIGHT TRADING & ENGINEERING                                                                      ,74 SUNGEI KADUT LOOP # - ,729513,SUNMIGHT8@HOTMAIL.COM                             ,62693231
49486400A ,HB-04-2921G    ,RONIER FURNITURE & RENOVATION DESIGN                                                                ,36 SUNGEI KADUT ST 1 # - SUNGEI KADUT IND ESTATE,729341,RONIER59@LIVE.COM                                 ,63658735
200307686W,HB-04-2922B    ,NSH CONTRACT PTE. LTD.                                                                              ,2 WOODLANDS SECTOR 1 # 05-24 WOODLANDS SPECTRUM,738068,SENGHUAT.NG61@GMAIL.COM                           ,66997292
52460400B ,HB-04-2924H    ,THUNG INTERIOR CONTRACTOR                                                                           ,113 Eunos Ave 3 # 06-14 Gordon Industrial Building,409838,TKTHUNG@HOTMAIL.SG                                ,65528359
200714482H,HB-04-2929D    ,YONG HONG SENG RENOVATION CONTRACTOR PTE. LTD.                                                      ,15 Yishun ind St 1 # 07-07 win 5,738733,YONGHONGSENG0707@GMAIL.COM                        ,67549419
51445100M ,HB-04-2930G    ,LIVE SAFE RENOVATION CONTRACTOR                                                                     ,1081 Eunos Avenue 7 # 01-168 ,409584,LSRENO8@GMAIL.COM                                 ,62549619
200005842H,HB-04-2939G    ,C T FURNITURE & INTERIOR DESIGN PTE LTD                                                             ,126 Joo Seng Road # 03-13 Gold Pine Industrial Building,368355,CTFURNIT@SINGNET.COM.SG                           ,62826445
51262900E ,HB-04-3098D    ,H.A. CONCEPT                                                                                        ,54 SEMBAWANG ROAD # 03-01 HONG HENG MANSIONS,779085,SAMTIEN4644@YAHOO.COM.SG                          ,67767854
31959200J ,HB-04-3102H    ,WELL INTERIOR                                                                                       ,2022 BUKIT BATOK ST 23 # 02-166 2022,659527,WELLINTERIOR666@GMAIL.COM                         ,65622297
52877230M ,HB-04-3105Z    ,JIA CHIN INTERIOR RENOVATION CONSTRUCTION                                                           ,7 DEFU LANE 1 # - DEFU INDUSTRIAL ESTATE,539482,JC.RENOVATION@GMAIL.COM                           ,67594755
52873242X ,HB-04-3227E    ,CORNERSTONE CRAFTSMEN                                                                               ,61 KAKI BUKIT AVE 1 # 05-40 SHUN LI INDUSTRIAL PARK,417943,JIVNN_HO@YAHOO.COM.SG                             ,68966396
201011549Z,HB-04-3228H    ,ONE DESIGN WERKZ PTE. LTD.                                                                          ,18 Tampines Industrial Crescent # 01-10C Space @ Tampines,528605,GARYWEE911@YAHOO.COM.SG                           ,63840101
32652900D ,HB-04-3232A    ,TAY HENG LONG RENOVATION CONSTRUCTION                                                               ,925 YISHUN CENTRAL 1 # 02-233 ,760925,TAYHLRC@SINGNET.COM.SG                            ,67537854
S99CS0231E,HB-04-3367A    ,CHOICE DECOR CO-OPERATIVE SOCIETY LTD                                                               ,22 SIN MING ROAD # 01-232 ,570022,CHOICEDE@SINGNET.COM.SG                           ,62987810
52905087X ,HB-04-3479E    ,EML DESIGN & CONTRACT                                                                               ,10 Admiralty Street # 02-63 Northlink Building,757695,EMLDC@SINGNET.COM.SG                              ,65564541
52907961E ,HB-04-3480H    ,GRACIOUS DECORUM & RENOVATION                                                                       ,3024 UBI ROAD 3 # 01-61 ,408652,CHUASIAKYEOW@YAHOO.COM.SG                         ,67482879
06608000B ,HB-04-3481C    ,SUN KIN HIN COMPANY                                                                                 ,No 10 Admiralty Street # 06-46 Northlink Building,757695,DERRICK.PTY@GMAIL.COM                             ,65562026
52987988C ,HB-04-3482F    ,AIJIA FURNISH & DECOR                                                                               ,5024 ANG MO KIO IND PK 2 # 01-71 ,569527,AIJIABESTLINK@YAHOO.COM.SG                        ,68535522
52882604B ,HB-04-3483Z    ,SIMPLICITY ID & RENO                                                                                ,183 Jalan Pelikat # B1-07 The Promenade@Pelikat,537643,SIMPLI2011@HOTMAIL.COM                            ,88289498
52900191L ,HB-04-3581F    ,RIBEN RENOVATION CONTRACTOR                                                                         ,280 Woodland industrial park E5 # 10-48 Harvest @ Woodland,757322,RICKY@RIBEN.COM.SG                                ,68523393
52981580W ,HB-04-3583A    ,HOME DESIGN BASE                                                                                    ,305 WOODLANDS ST 31 # 01-83 ,730305,ANNIETAN61_SG@YAHOO.COM                           ,63686698
52966574C ,HB-04-3584D    ,C.C.N. ALUMINIUM & RENOVATION                                                                       ,1001 EUNOS AVE 8 # 01-28 ,409496,CCNWINDOW@YAHOO.COM                               ,67426828
200303037M,HB-04-3702G    ,LIANG & LIANG INTERIOR PTE LTD                                                                      ,621 ALJUNIED RD # 04-05 LIPO BUILDING,389834,LLIANG@SINGNET.COM.SG                             ,67438550
201205160D,HB-04-3703B    ,YEW CHUAN RENOVATION CONTRACTOR PTE. LTD.                                                           ,25 KAKI BUKIT ROAD 4 # 03-48 SYNERGY@KB,417800,YEWCHUAN_RENO@YAHOO.COM                           ,67860723
200502510N,HB-04-3757B    ,SUNSHINE RENO & CONSTRUCTION PTE. LTD.                                                              ,3016 BEDOK NORTH AVE 4 # 08-12 EASTECH,489947,SUNRENOS@GMAIL.COM                                ,62466595
52934968W ,HB-04-3758E    ,CYDA DESIGN                                                                                         ,3016 BEDOK NORTH AVE 4 # 06-12 EASTECH,489947,CYDA_DESIGN@YAHOO.COM                             ,62277183
200503004H,HB-04-3820B    ,GOLD SHINE SERVICES PTE LTD                                                                         ,10 ANSON ROAD # 10-11 INTERNATIONAL PLAZA,79903,LPGSSCSE@GMAIL.COM                                ,67831348
53066523M ,HB-04-3821E    ,LOVE HOME DECOR                                                                                     ,1004 TOA PAYOH NORTH # 06-01 ,318995,ENQUIRY@LOVEHOME.COM.SG                           ,62538271
200201070K,HB-04-3822H    ,PPC BUILDING SERVICES PTE LTD                                                                       ,71 Ubi Road 1 # 07-34 Oxley Bizhub,408732,MOH@PPCGROUP.SG                                   ,62865550
199704287C,HB-04-3887F    ,YMD (S) PTE LTD                                                                                     ,24 SUNGEI KADUT WAY # - ,728780,YMDPL@SINGNET.COM.SG                              ,63686626
53011830X ,HB-04-3890D    ,THE METAPHYSICS PRACTICE                                                                            ,12 Tannery Road # 07-07 HB Centre 1,347722,METAPHYSICSPRACTICE@GMAIL.COM                     ,63362879
200104444Z,HB-04-3893E    ,YNY DESIGN + CONSTRUCTION PTE. LTD.                                                                 ,10 ADMIRALTY STREET # 06-47 NORTH LINK BUILDING,757695,YNYDC@SINGNET.COM.SG                              ,62211365
52889492K ,HB-04-3894H    ,EAE RENOVATION & TRADING                                                                            ,1 Yishun St 23 # 06-49 YS One,768441,EAETDG@GMAIL.COM                                  ,62575189
200504079H,HB-04-3895C    ,ELEMENTS CONSTRUCTION PTE. LTD.                                                                     ,No. 1 Yishun Industrial Street 1 # 08-27 ,768160,ELEMENTS_CON@YAHOO.COM.SG                         ,62576231
27387200A ,HB-05-0907C    ,WA FA TILING WORKS                                                                                  ,560 BALESTIER RD # - ,329876,WAFA.TILING@GMAIL.COM                             ,62534496
36115500W ,HB-05-0948G    ,HOU FURNITURE TRADING                                                                               ,200 JALAN SULTAN # 03-03 TEXTILE CENTRE,199018,PHIL.T1970@GMAIL.COM                              ,62718249
199703773C,HB-05-1054A    ,RITA METAL & WOODEN FURNITURE CONSTRUCTION PTE LTD                                                  ,55 SUNGEI KADUT DR # - SUNGEI KADUT INDUSTRIAL ESTATE,729563,GENERAL@RITA-MWFC.COM                             ,64824359
200602137C,HB-05-1099A    ,LESENSE PTE. LTD.                                                                                   ,299C COMPASSVALE STREET # 03-114 ,543299,LCMJOE@GMAIL.COM                                  ,65473604
33769200M ,HB-05-1105C    ,WELFORD COATING & RENOVATION                                                                        ,387A CHANGI ROAD # - ,419836,WELFORDRENOVATION@HOTMAIL.COM                     ,62450981
201008177N,HB-05-1112E    ,HOMELY IMAGE PTE. LTD.                                                                              ,882 WOODLANDS ST 82 # 07-58 ,730882,NATANEL_25@YAHOO.COM.SG                           ,63658625
34240700K ,HB-05-1114C    ,MAC CONSTRUCTION & TRADING                                                                          ,22 Nassim Hill # 03-20 ,258468,DANIELSET@YAHOO.COM.SG                            ,64737302
30291400E ,HB-05-1120B    ,WEIGE CONSTRUCTION                                                                                  ,511 CHOA CHU KANG ST 51 # 14-245 ,680511,WEIGECONST@YAHOO.COM.SG                           ,67651840
38826100E ,HB-05-1142F    ,TIEN YONG RENOVATION CONTRACTOR                                                                     ,20 MAXWELL ROAD # 12-02A MAXWELL HOUSE,69113,TANKHENGMENG@YAHOO.COM.SG                         ,96226250
201215235M,HB-05-1151F    ,UPTON INTERIOR & RENOVATION PTE. LTD.                                                               ,3018 BEDOK NORTH ST 5 # 04-27 EASTLINK,486132,UPTONINTERIOR@SINGNET.COM.SG                      ,62427507
31030700K ,HB-05-1154D    ,TAWEN CONSTRUCTION                                                                                  ,38 SUNGEI KADUT ST 1 # - ,729343,TAWENCONSTRUCTION@GMAIL.COM                       ,67637047
37573200D ,HB-05-1170Z    ,YUEN YEE INTERIOR RENOVATION                                                                        ,825 TAMPINES ST 81 # 01-46 ,520825,EASTRISE@SINGNET.COM.SG                           ,67858083
28314700L ,HB-05-1176H    ,YING SOON KEE TRADING CO                                                                            ,154 SERANGOON NORTH AVE 1 # 01-440 ,550154,YSK@YINGSOONKEE.COM                               ,62862691
23593000L ,HB-05-1191G    ,YEOW SENG HUP CONTRACTOR                                                                            ,3027 UBI ROAD 1 # 01-108 ,408720,YEOWSENGHUP@HOTMAIL.COM                           ,65841433
22423900K ,HB-05-1197Z    ,TONG TEE CONTRACTOR                                                                                 ,129 Paris Ris Grove # 08-11 Dnest,518179,QUAHSIMON@YAHOO.COM.SG                            ,67822123
33891200B ,HB-05-1203H    ,SOMBOON DECOR                                                                                       ,126 JOO SENG ROAD # 02-11 GOLDPINE INDUSTRIAL BLDG,368355,SOMBOON_DECOR@YAHOO.COM.SG                        ,63877717
53144737E ,HB-05-1207A    ,TONG SIN ENTERPRISE                                                                                 ,111 North Bridge Road # 21-01 Peninsula Plaza,179098,TONG_SIN@SINGNET.COM.SG                           ,68994525
23499100C ,HB-05-1219B    ,HOON HOE BROS RENOVATION & TRADING                                                                  ,1 EVERTON PARK # 01-37 ,81001,EAGLEDES@SINGNET.COM.SG                           ,62235117
08127800D ,HB-05-1220E    ,AH TEE FURNITURE CONTRACTOR                                                                         ,11 Upper Boon Keng Road # 01-921 ,380011,SALES@TEAMINTERIOR.COM.SG                         ,93840104
26692200K ,HB-05-1241F    ,TANSON CONSTRUCTION                                                                                 ,7 MEI HWAN CRES # - GOLDEN HILL ESTATE,568452,TANSON_CONSTRUCTION@YAHOO.COM.SG                  ,67534345
07020800W ,HB-05-1255B    ,HUP ENG CONTRACTOR & CO                                                                             ,47 DEFU LANE 9 # - ,539287,HUP_ENG@YAHOO.COM.SG                              ,62854523
25966800A ,HB-05-1258C    ,MENG HOO RENOVATION CONTRACTOR                                                                      ,387A CHANGI RD # - ,419836,MENGHOO_RENOVATION@YAHOO.COM.SG                   ,64424368
34006800X ,HB-05-1277F    ,TUAS BUILDING                                                                                       ,399 WOODLANDS ROAD # - ,678002,BENTUASRC@YAHOO.COM.SG                            ,67645251
26563500D ,HB-05-1279A    ,ORIENT RENO                                                                                         ,58 Lengkok Bahru # 01-507 ,150058,ENQUIRY@ORIENTRENO.COM                            ,65541643
38570000L ,HB-05-1280D    ,WIMI RENOVATION CONTRACTOR                                                                          ,446 HOUGANG AVE 8 # B1-1635 ,530446,WIMIRENOVATION@GMAIL.COM                          ,64819252
33497600J ,HB-05-1289D    ,INDRATEX GENERAL CONTRACTOR                                                                         ,111 NORTH BRIDGE RD # 21-01 PENINSULA PLAZA,179098,INDRATEXGENERALCONTRACTOR@HOTMAIL.COM             ,62825338
30173600J ,HB-05-1292E    ,YAP KIAN HOCK CONTRACTOR                                                                            ,560 BALESTIER RD # - ,329876,PATRICKYAPBT@GMAIL.COM                            ,62534496
28548400A ,HB-05-1294C    ,MING SING CONSTRUCTION                                                                              ,456 ANG MO KIO AVE 10 # 01-1574 ,560456,ENQUIRY@MINGSINGCONSTRUCTION.COM                  ,64566343
199907869C,HB-05-1311H    ,KIAN HUAT DECORATION CONSTRUCTION PTE LTD                                                           ,33 UBI AVE 3 # 06-52 VERTEX,408868,GRACE@KIANHUAT.SG                                 ,65096788
35897700B ,HB-05-1323Z    ,TECK CHAN RENOVATION                                                                                ,7 Geylang Lorong 29 # 03-01A ,388063,TECK_CHAN@HOTMAIL.COM                             ,68370651
200411076C,HB-05-1330C    ,G'PLAN DESIGN PTE LTD                                                                               ,2 JURONG EAST ST 21 # 03-28 IMM BUILDING,609601,ENQUIRIES@GPLAN.COM.SG                            ,68991311
53091784W ,HB-05-1580E    ,IQ DESIGN CONCEPT                                                                                   ,279 Balestier Rd # 02-16 Balestier Point,329727,IQDESIGNCONCEPT@YAHOO.COM.SG                      ,62503880
42328200W ,HB-05-1819A    ,THREE N BUILDING CONSTRUCTION & RENOVATOR                                                           ,491 JURONG WEST AVE 1 # 01-153 ,640491,THREENBUILDING@HOTMAIL.COM                        ,62767028
38203900M ,HB-05-1871F    ,TWIN STAR INTERIOR DECORATION                                                                       ,515 Bedok North Ave 2 # 01-195 ,460515,PETEVIRAGE@HOTMAIL.COM                            ,67435012
37706300B ,HB-05-1872Z    ,SIN LI ALUMINIUM WORKS                                                                              ,3027 UBI ROAD 1 # 01-122 ,408720,MYSINLI@GMAIL.COM                                 ,67430503
42230200K ,HB-05-1959H    ,HILUX RENOVATION CONTRACTOR                                                                         ,1030 EUNOS AVE 6 # 01-50 ,409625,HILUXRENO@HOTMAIL.COM                             ,67469783
45449700L ,HB-05-1962Z    ,SIN HWA RENOVATION CONSTRUCTION                                                                     ,134 BUKIT BATOK WEST AVENUE 6 # 01-445 ,650134,SINHWA_DESIGN@YAHOO.COM.SG                        ,65694362
41354900C ,HB-05-2038B    ,AINES ENTERPRISE                                                                                    ,824 YISHUN ST 81 # 02-604 HDB,760824,EEPSOONI@GMAIL.COM                                ,67529375
24908800B ,HB-05-2104C    ,WEEK LEE SERVICE PTE LTD                                                                            ,10 ADMIRALTY ST # 02-73 NORTH LINK BUILDING,757695,WEEKLEE@PACIFIC.NET.SG                            ,64874030
30891100L ,HB-05-2106Z    ,YEO'S SOON LOI GENERAL CONSTRUCTION CO                                                              ,3013 BEDOK IND PK E # 01-2142 ,489979,GEORGE@METALWORLD.COM.SG                          ,64443261
45535600M ,HB-05-2110B    ,ART & DESIGN RENOVATION CONTRACTOR                                                                  ,64D Kallang Pudding Road # 07-00 Wee Tiong Building,349323,VINCENT@ARTANDDESIGN.COM.SG                       ,66390939
199403364K,HB-05-2170A    ,FIRST PARAGON ENTERPRISE PTE LTD                                                                    ,3007 Ubi Road 1 # 05-446 ,408701,FPEPL@SINGNET.COM.SG                              ,67463225
51578700X ,HB-05-2171D    ,W K DESIGN & CONTRACT                                                                               ,30 KAKI BUKIT ROAD 3 # 04-05 EMPIRE TECHNOCENTRE,417819,WKDESIGN@SINGNET.COM.SG                           ,67421242
52114300D ,HB-05-2172G    ,MUNDA CONTRACT SERVICES                                                                             ,7 Elias Road # 06-03 Elias Green,519962,RANDY@MUNDA.COM.SG                                ,64495833
49756700L ,HB-05-2280G    ,VISIONS 3 INTERIOR DECOR                                                                            ,8 BURN ROAD # 08-02 TRIVEX,369977,TOWCHONG@HOTMAIL.COM                              ,62888183
199802100Z,HB-05-2284C    ,GEK JIN CONTRACTORS PTE LTD                                                                         ,756 Upper Serangoon Road # 03-06 Upper Serangoon Shopping Centre,534626,GEKJIN@SINGNET.COM.SG                             ,63820015
46728600X ,HB-05-2495D    ,EVERBRIGHT ALUMINIUM SERVICE & TRADING                                                              ,26 Seletar West Farmway 1 # - ,798126,EVERBRIGHT.ALUMINIUM@GMAIL.COM                    ,63841965
37905500K ,HB-05-2497B    ,WING SOON ALUMINIUM RENOVATION CONTRACTOR                                                           ,1016 GEYLANG EAST AVE 3 # 02-173 ,389731,STEVEN_WINGSOON@YAHOO.COM.SG                      ,65471921
200408256C,HB-05-2499H    ,JGH DESIGN & CONTRACT PTE LTD                                                                       ,37 TAMPINES ST 34 # 05-44 EDEN AT TAMPINES,529240,JGHHOME@GMAIL.COM                                 ,65697253
197900798H,HB-05-2500C    ,SERENE ALUMINIUM PTE LTD                                                                            ,1007 EUNOS AVE 7 # 01-25 ,409578,MAYNEO@SINGNET.COM.SG                             ,67411246
42612500B ,HB-05-2503A    ,G.A.I. INTERIOR DESIGN & DECORATION                                                                 ,1 KAKI BUKIT ROAD 1 # 02-46 ENTERPRISE ONE,415934,BERNARDSEC08@GMAIL.COM                            ,68416878
37456700W ,HB-05-2507E    ,WINNERS STAINLESS STEEL & ALUMINIUM CONSTRUCTION                                                    ,31 SENOKO LOOP # - WOODLANDS EAST INDUSTRIAL ESTATE,758163,WINSS@SINGNET.COM.SG                              ,63652893
41580900B ,HB-05-2511Z    ,TECK GUAN ALUMINIUM & TRADING CONTRACTOR                                                            ,187 UBI AVENUE 4 # - ,408797,WHYLEE72@GMAIL.COM                                ,68414959
52820963M ,HB-05-2512A    ,SOON YIAP ALUMINIUM CONTRACTOR                                                                      ,3018 BEDOK NORTH ST 5 # 04-07 EASTLINK,486132,SOONYIAP@YAHOO.COM                                ,62415756
49288500A ,HB-05-2514G    ,C&G ALUMINIUM AND RENOVATION                                                                        ,8 Kaki Bukit Ave 4 # 02-22 Premier @ Kaki Bukit,415875,SENG_CHUAN_LIM@YAHOO.COM.SG                       ,64498871
30547200C ,HB-05-2516H    ,STANFORD ALUMINIUM CONSTRUCTION & TRADING CO                                                        ,1015 GEYLANG EAST AVE 3 # 01-123 ,389730,STANFORDALUM@LIVE.COM.SG                          ,67474046
44824500X ,HB-05-2517C    ,FOCUS VIEW INTERIORS                                                                                ,125 BUKIT MERAH LANE 1 # 03-158 ,150125,FOCYSV@SINGNET.COM.SG                             ,62500388
49122300E ,HB-05-2520A    ,PHAETHON GENERAL RENOVATION SERVICES                                                                ,1000 TAI SENG AVENUE # 01-2518 ,534421,PHAETHON_JL@HOTMAIL.COM                           ,68841693
27937700B ,HB-05-2523B    ,HUA KWANG FURNITURE & DECORATION                                                                    ,1 1 QUEENSWAY # 03-43 QUEENSWAY SHOPPING CENTER,149053,INFO.HUAKWANG@GMAIL.COM                           ,63686323
45494600K ,HB-05-2525C    ,KING'S FURNITURE CONTRACTS                                                                          ,1 DEFU LANE 4 # - Hong Lee Building,539406,KINGS_2806@YAHOO.COM.SG                           ,67110903
200811129Z,HB-05-2528A    ,LUCKSON ALUMINIUM & GLASS WORKS PTE. LTD.                                                           ,68 SUNGEI KADUT ST 1 # - ,729370,LUCKSON@HOTMAIL.SG                                ,63633348
48211100C ,HB-05-2534F    ,POPULAR DESIGN & CONSTRUCTION                                                                       ,353 jurong east st 31 # 01-111 ,600353,POPULARDESIGN9044@YAHOO.COM.SG                    ,67635859
42463300X ,HB-05-2538G    ,IWI ALUMINIUM                                                                                       ,61 WOODLANDS INDUSTRIAL PARK E9 # 03-07 E9 PREMIUM,757047,RICKYIWI@YAHOO.COM.SG                             ,67667821
35803400X ,HB-05-2540H    ,HOCK SENG ALUMINIUM WORKS                                                                           ,12 BRADDELL RD # - ,359900,HOCKSENGALUMINIUM@HOTMAIL.COM                     ,67472216
201104535W,HB-05-2541C    ,WHITE SILVER PTE. LTD.                                                                              ,845 GEYLANG RD # 03-33 TANJONG KATONG CPLX,400845,EDDIE@WHITESILVER.COM.SG                          ,67496965
52808390B ,HB-05-2739A    ,D'GITAL DESIGN                                                                                      ,9005 TAMPINES STREET 93 # 01-220 TAMPINES IND PARK A,528839,DGITALDESIGN@GMAIL.COM                            ,67836784
52800123W ,HB-05-2748A    ,EXQUISITE RENOVATION WORKS                                                                          ,1102A SERANGOON ROAD # - ,328196,JACKSON@ERW.COM.SG                                ,62988983
52802358J ,HB-05-2941E    ,YONG XIANG CEILING DECORATION CONTRACTOR                                                            ,280 WOODLANDS INDUSTRIAL PARK E5 # 02-02 HARVEST@WOODLANDS,757322,SOON67@GMAIL.COM                                  ,68779527
42175600D ,HB-05-2943C    ,KENG SEK TRADING & RENOVATION CONTRACTOR                                                            ,14 DICKSON ROAD # - ,209500,KENGSEKRENOVATION@YAHOO.COM.SG                    ,62964817
199307424R,HB-05-2946A    ,COLLECTIVE DESIGNS PTE LTD                                                                          ,33 ubi ave 3 # 01-21 vertex building,408868,CALSIALEE@COLLECTIVEDESIGNS.COM.SG                ,63823381
45216600D ,HB-05-3113F    ,ELEGANCE CONCEPT                                                                                    ,154 West Coast Road # 01-78 West Coast Plaza,127371,MENGINTERIOR@SINGNET.COM.SG                       ,68977252
199703357C,HB-05-3114Z    ,BS CONTRACT PTE LTD                                                                                 ,100 100 jalan sultan # 02-42 sultan plaza,199001,GARYCHIN3376@GMAIL.COM                            ,62926997
44359100L ,HB-05-3117G    ,GIMWING ENGINEERING                                                                                 ,387A CHANGI RD # - ,419836,GIMWING1@HOTMAIL.COM                              ,64446371
200606666G,HB-05-3236E    ,ACE DESIGN AND CONTRACT PTE LTD                                                                     ,10 ANSON ROAD # 10-06 INTERNATIONAL PLAZA,79903,ACE98@SINGNET.COM.SG                              ,67926940
199506210C,HB-05-3241A    ,YE SIN DESIGN & BUILD PTE. LTD.                                                                     ,35 KALLANG PUDDING RD # 03-08 TONG LEE BUILDING BLK A,349312,EMILYQUEKST@YAHOO.COM.SG                          ,67487767
52881211D ,HB-05-3242D    ,TEAM KAL DESIGN                                                                                     ,12 STIRLING ROAD # 23-13 QUEENS,148955,TEAMKAL@YAHOO.COM                                 ,64710935
52866020M ,HB-05-3371E    ,LEE TAT ALUMINIUM INDUSTRIES                                                                        ,5 DEFU AVE 2 # - DEFU INDUSTRIAL ESTATE,539517,DENNISCHOO280@YAHOO.COM                           ,63158381
199303232M,HB-05-3372H    ,JACK SENG CONSTRUCTION & TRADING PTE LTD                                                            ,100 JALAN SULTAN # 02-04 SULTAN PLAZA,199001,JACKSENG1993@GMAIL.COM                            ,62984018
197802872C,HB-05-3373C    ,STANDARD ROLLING SHUTTERS PTE. LTD.                                                                 ,1001 EUNOS AVE 8 # 01-02 ,409496,SRSPL@SINGNET.COM.SG                              ,67473036
52888249W ,HB-05-3487B    ,GUAN HOWE RENOVATION                                                                                ,10 ADMIRALTY STREET # 03-29 NORTH LINK BLDG,757695,GHRENO@SINGNET.COM.SG                             ,65553363
199507243H,HB-05-3488E    ,CONCEPCION INTERIORS PTE LTD                                                                        ,5001 BEACH RD # 08-38 GOLDEN MILE COMPLEX,199588,ADMIN@CONCEPCION.COM.SG                           ,63658997
45233300L ,HB-05-3491F    ,WAI SENG RENOVATION CONTRACTOR                                                                      ,10 ADMIRALTY STREET # 05-70 NORTH LINK BUILDING,757695,WAISENGRC@YAHOO.COM                               ,67521480
52970404L ,HB-05-3492Z    ,HOME TREND DEC. & DESIGN                                                                            ,845 GEYLANG ROAD # 03-20 TANJONG KATONG COMPLEX,400845,HOMETRENDDEC@HOTMAIL.COM                          ,68467697
201016951E,HB-05-3494D    ,SKL CONSTRUCTION & SUPPLY PTE. LTD.                                                                 ,10 ADMIRALTY STREET # 04-24 NORTH LINK BUILDING,757695,SKLCS@SINGNET.COM.SG                              ,68535575
